scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-05-26 02:57:22 UTC,2021-07-11 15:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/italy-hlKvieGH/#4U8yxaPL,Italy,England,Euro 2020,2,1,"1:1, 2:0",Wembley Stadium,London,England,"[{'1': '3.22', 'X': '2.95', '2': '2.62', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.40', 'X': '2.95', '2': '2.48', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.40', 'X': '2.90', '2': '2.45', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.50', 'X': '2.88', '2': '2.40', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:57:23 UTC,2021-07-07 15:00:00 UTC,https://www.oddsportal.com/football/h2h/denmark-0KUdxQVi/england-j9N9ZNFA/#CGkRmO1G,England,Denmark,Euro 2020,2,1,"1:1, 0:0",Deutsche Bank Park,Frankfurt,Germany,"[{'1': '1.72', 'X': '3.55', '2': '5.94', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.40', '2': '5.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.72', 'X': '3.50', '2': '5.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.30', '2': '5.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:57:23 UTC,2021-07-06 15:00:00 UTC,https://www.oddsportal.com/football/h2h/italy-hlKvieGH/spain-bLyo6mco/#KSL7Mgfs,Italy,Spain,Euro 2020,2,1,"0:0, 1:0",Veltins Arena,Gelsenkirchen,Germany,"[{'1': '2.43', 'X': '3.14', '2': '3.31', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.55', 'X': '3.10', '2': '3.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.50', 'X': '3.10', '2': '3.10', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.50', 'X': '3.20', '2': '3.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:57:39 UTC,2021-07-03 15:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/ukraine-j1JtDMwo/#f109QTeh,Ukraine,England,Euro 2020,0,4,"(0:1, 0:3)",Tarczynski Arena,Wrocaw,Poland,"[{'1': '8.22', 'X': '4.07', '2': '1.51', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '7.50', 'X': '3.90', '2': '1.54', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.50', 'X': '4.00', '2': '1.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '7.50', 'X': '3.80', '2': '1.53', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:57:40 UTC,2021-07-03 12:00:00 UTC,https://www.oddsportal.com/football/h2h/czech-republic-6LHwBDGU/denmark-0KUdxQVi/#WbNfqHLt,Czech Republic,Denmark,Euro 2020,1,2,"(0:2, 1:0)",epet ARENA,Prague,Czech Republic,"[{'1': '4.38', 'X': '3.05', '2': '2.11', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.95', 'X': '3.10', '2': '2.15', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.00', 'X': '3.00', '2': '2.15', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.80', 'X': '3.20', '2': '2.10', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:57:40 UTC,2021-07-02 15:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/italy-hlKvieGH/#I393lDd7,Belgium,Italy,Euro 2020,1,2,"(1:2, 0:0)",,,,"[{'1': '3.24', 'X': '3.26', '2': '2.40', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.45', 'X': '3.10', '2': '2.35', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.40', 'X': '3.20', '2': '2.25', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.40', 'X': '3.20', '2': '2.25', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:57:56 UTC,2021-07-02 12:00:00 UTC,https://www.oddsportal.com/football/h2h/spain-bLyo6mco/switzerland-rHJ2vy1B/#KGNpv7sc,Switzerland,Spain,Euro 2020,1,2,"1:0, 2:2",Estadio Heliodoro Rodrguez Lpez,Santa Cruz de Tenerife,Spain,"[{'1': '6.29', 'X': '3.97', '2': '1.61', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '5.80', 'X': '3.75', '2': '1.66', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.75', 'X': '3.90', '2': '1.61', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '5.50', 'X': '3.80', '2': '1.65', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:57:56 UTC,2021-06-29 15:00:00 UTC,https://www.oddsportal.com/football/h2h/sweden-OQyqbHWB/ukraine-j1JtDMwo/#0Whak0Dn,Sweden,Ukraine,Euro 2020,1,2,"0:1, 1:2",Estadi Ciutat de Valncia,Valencia,Spain,"[{'1': '2.25', 'X': '3.26', '2': '3.57', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.20', '2': '3.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.20', '2': '3.30', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.20', '2': '3.30', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:58:16 UTC,2021-06-29 12:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/germany-ptQide1O/#SrOpWxDO,England,Germany,Euro 2020,2,0,"(0:0, 2:0)",Wembley Stadium,London,England,"[{'1': '2.57', 'X': '3.35', '2': '2.92', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.38', 'X': '3.25', '2': '3.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.37', 'X': '3.30', '2': '3.10', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.30', '2': '3.10', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:58:17 UTC,2021-06-28 15:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/switzerland-rHJ2vy1B/#407TfMkP,France,Switzerland,Euro 2020,3,4,"0:1, 3:2, 0:0, 4:5",Arena Nationala,Bucharest,Romania,"[{'1': '1.61', 'X': '3.89', '2': '6.60', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.65', 'X': '3.80', '2': '5.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.80', '2': '6.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.67', 'X': '3.75', '2': '5.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
