tournament,home_team,away_team,home_key,away_key,match_date,odds_home,odds_draw,odds_away,prob_home,prob_draw,prob_away,odds_source,bookmaker
FIFA World Cup 2018,Brazil,Costa Rica,brazil,costa rica,2018-06-22 08:00:00+00:00,1.2,6.75,21.0,0.8097686375321337,0.14395886889460155,0.04627249357326478,oddsportal,bet365_or_avg
FIFA World Cup 2018,France,Belgium,france,belgium,2018-07-10 14:00:00+00:00,2.6,3.1,3.1,0.3734939759036145,0.31325301204819284,0.31325301204819284,oddsportal,bet365_or_avg
FIFA World Cup 2018,France,Argentina,france,argentina,2018-06-30 10:00:00+00:00,2.45,3.1,3.4,0.3982618552805592,0.3147553372378613,0.28698280748157945,oddsportal,bet365_or_avg
FIFA World Cup 2018,Saudi Arabia,Egypt,saudi arabia,egypt,2018-06-25 10:00:00+00:00,5.25,3.6,1.8,0.18604651162790697,0.2713178294573644,0.5426356589147288,oddsportal,bet365_or_avg
FIFA World Cup 2018,Spain,Russia,spain,russia,2018-07-01 10:00:00+00:00,1.57,4.2,6.5,0.61906165672691,0.2314111431098211,0.14952720016326904,oddsportal,bet365_or_avg
FIFA World Cup 2018,Germany,Sweden,germany,sweden,2018-06-23 14:00:00+00:00,1.44,4.75,8.0,0.674237047551455,0.20440028388928316,0.1213626685592619,oddsportal,bet365_or_avg
FIFA World Cup 2018,Belgium,England,belgium,england,2018-07-14 10:00:00+00:00,2.25,3.8,3.2,0.4356861340021498,0.2579720530275887,0.3063418129702616,oddsportal,bet365_or_avg
FIFA World Cup 2018,Serbia,Switzerland,serbia,switzerland,2018-06-22 14:00:00+00:00,2.8,3.0,3.0,0.3488372093023256,0.32558139534883723,0.32558139534883723,oddsportal,bet365_or_avg
FIFA World Cup 2018,Brazil,Belgium,brazil,belgium,2018-07-06 14:00:00+00:00,2.1,3.5,3.75,0.46296296296296297,0.2777777777777778,0.2592592592592593,oddsportal,bet365_or_avg
FIFA World Cup 2018,Spain,Morocco,spain,morocco,2018-06-25 14:00:00+00:00,1.36,5.1,10.5,0.7162346521145976,0.1909959072305594,0.09276944065484312,oddsportal,bet365_or_avg
FIFA World Cup 2018,Denmark,Australia,denmark,australia,2018-06-21 08:00:00+00:00,1.95,3.4,4.5,0.49829018075232057,0.28578407425500735,0.21592574499267222,oddsportal,bet365_or_avg
FIFA World Cup 2018,Croatia,England,croatia,england,2018-07-11 14:00:00+00:00,3.9,3.0,2.3,0.250272034820457,0.3253536452665941,0.4243743199129489,oddsportal,bet365_or_avg
FIFA World Cup 2018,South Korea,Mexico,south korea,mexico,2018-06-23 11:00:00+00:00,5.5,3.9,1.7,0.17713064386855465,0.24979962596847452,0.5730697301629709,oddsportal,bet365_or_avg
FIFA World Cup 2018,Nigeria,Iceland,nigeria,iceland,2018-06-22 11:00:00+00:00,3.0,3.1,2.7,0.3247962747380675,0.31431897555296856,0.3608847497089639,oddsportal,bet365_or_avg
FIFA World Cup 2018,England,Belgium,england,belgium,2018-06-28 14:00:00+00:00,2.45,2.8,3.8,0.3968668407310704,0.3472584856396867,0.2558746736292428,oddsportal,bet365_or_avg
FIFA World Cup 2018,Japan,Poland,japan,poland,2018-06-28 10:00:00+00:00,3.0,3.1,2.7,0.3247962747380675,0.31431897555296856,0.3608847497089639,oddsportal,bet365_or_avg
FIFA World Cup 2018,Colombia,Japan,colombia,japan,2018-06-19 08:00:00+00:00,1.9,3.3,5.0,0.5113108149984505,0.2943910753021382,0.19429810969941122,oddsportal,bet365_or_avg
FIFA World Cup 2018,Russia,Croatia,russia,croatia,2018-07-07 14:00:00+00:00,4.0,3.2,2.14,0.24276800907543958,0.30346001134429945,0.4537719795802609,oddsportal,bet365_or_avg
FIFA World Cup 2018,Uruguay,Saudi Arabia,uruguay,saudi arabia,2018-06-20 11:00:00+00:00,1.2,7.0,19.0,0.8099878197320342,0.13885505481120583,0.051157125456760044,oddsportal,bet365_or_avg
FIFA World Cup 2018,Switzerland,Costa Rica,switzerland,costa rica,2018-06-27 14:00:00+00:00,1.6,3.8,7.5,0.6118505796479177,0.25762129669386,0.13052812365822242,oddsportal,bet365_or_avg
FIFA World Cup 2018,France,Peru,france,peru,2018-06-21 11:00:00+00:00,1.61,3.9,6.5,0.6022235948116119,0.24861025324274244,0.14916615194564545,oddsportal,bet365_or_avg
FIFA World Cup 2018,Uruguay,France,uruguay,france,2018-07-06 10:00:00+00:00,4.9,3.1,2.0,0.19878166078871431,0.3142032702789356,0.48701506893235014,oddsportal,bet365_or_avg
FIFA World Cup 2018,Senegal,Colombia,senegal,colombia,2018-06-28 10:00:00+00:00,5.0,3.75,1.8,0.19565217391304351,0.2608695652173913,0.5434782608695653,oddsportal,bet365_or_avg
FIFA World Cup 2018,Iceland,Croatia,iceland,croatia,2018-06-26 14:00:00+00:00,4.33,4.0,1.83,0.22478879986733774,0.24333387585639313,0.5318773242762691,oddsportal,bet365_or_avg
FIFA World Cup 2018,France,Croatia,france,croatia,2018-07-15 11:00:00+00:00,2.14,3.0,4.33,0.45298888974131857,0.32313207468214056,0.2238790355765408,oddsportal,bet365_or_avg
FIFA World Cup 2018,Belgium,Tunisia,belgium,tunisia,2018-06-23 08:00:00+00:00,1.33,5.25,12.0,0.733048259010385,0.1857055589492975,0.08124618204031767,oddsportal,bet365_or_avg
FIFA World Cup 2018,South Korea,Germany,south korea,germany,2018-06-27 10:00:00+00:00,19.0,8.5,1.16,0.050982419855222325,0.11396070320579109,0.8350568769389864,oddsportal,bet365_or_avg
FIFA World Cup 2018,Iran,Portugal,iran,portugal,2018-06-25 14:00:00+00:00,6.0,4.1,1.61,0.16154768605760994,0.23641124788918533,0.6020410660532047,oddsportal,bet365_or_avg
FIFA World Cup 2018,Japan,Senegal,japan,senegal,2018-06-24 11:00:00+00:00,3.2,2.9,2.7,0.3040776699029126,0.33553398058252426,0.36038834951456306,oddsportal,bet365_or_avg
FIFA World Cup 2018,England,Panama,england,panama,2018-06-24 08:00:00+00:00,1.22,6.5,19.0,0.7987840372550288,0.14992561930017462,0.05129034344479658,oddsportal,bet365_or_avg
