scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-05-26 02:43:26 UTC,2018-06-22 08:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/costa-rica-C4ePE2kq/#0jqOhr5G,Brazil,Costa Rica,World Cup 2018,2,0,"(0:0, 2:0)",SoFi Stadium,"Inglewood, CA",USA,"[{'1': '1.19', 'X': '6.70', '2': '20.00', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.18', 'X': '6.50', '2': '19.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.75', '2': '21.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.75', '2': '19.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:43:26 UTC,2018-07-10 14:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/france-QkGeVG1n/#Ikzqgki4,France,Belgium,World Cup 2018,1,0,"(0:0, 1:0)",,,,"[{'1': '2.58', 'X': '3.08', '2': '3.08', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.55', 'X': '3.10', '2': '2.95', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.60', 'X': '3.10', '2': '3.10', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.60', 'X': '3.20', '2': '3.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:43:36 UTC,2018-06-30 10:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/france-QkGeVG1n/#dKkVaZfn,France,Argentina,World Cup 2018,4,3,"(1:1, 3:2)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '2.42', 'X': '3.07', '2': '3.36', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.33', 'X': '3.05', '2': '3.35', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.45', 'X': '3.10', '2': '3.40', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.40', 'X': '3.10', '2': '3.40', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:43:44 UTC,2018-06-25 10:00:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/saudi-arabia-biSY8ox4/#dv2fU7Mb,Saudi Arabia,Egypt,World Cup 2018,2,1,"(1:1, 1:0)",King Abdullah Sports City,Jeddah,Saudi Arabia,"[{'1': '5.95', 'X': '3.56', '2': '1.70', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.55', '2': '1.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.25', 'X': '3.60', '2': '1.80', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.60', '2': '1.80', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:43:44 UTC,2018-07-01 10:00:00 UTC,https://www.oddsportal.com/football/h2h/russia-hrgrswHh/spain-bLyo6mco/#CpJqjmbf,Spain,Russia,World Cup 2018,1,2,"1:1, 0:0, 0:0, 3:4",Luzhniki Stadium,Moscow,Russia,"[{'1': '1.53', 'X': '4.18', '2': '6.95', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.52', 'X': '4.20', '2': '6.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.57', 'X': '4.20', '2': '6.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.60', 'X': '4.20', '2': '5.75', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:43:53 UTC,2018-06-23 14:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/sweden-OQyqbHWB/#KfGl93kc,Germany,Sweden,World Cup 2018,2,1,"(0:1, 2:0)",Fisht Olympic Stadium,Sochi,Russia,"[{'1': '1.41', 'X': '4.70', '2': '8.60', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.46', 'X': '4.40', '2': '7.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.75', '2': '8.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.75', '2': '6.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:44:01 UTC,2018-07-14 10:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/england-j9N9ZNFA/#ttPTZmYH,Belgium,England,World Cup 2018,2,0,"(1:0, 1:0)",Wembley Stadium,London,England,"[{'1': '2.10', 'X': '3.74', '2': '3.42', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.14', 'X': '3.80', '2': '3.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.80', '2': '3.20', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.80', '2': '3.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:44:01 UTC,2018-06-22 14:00:00 UTC,https://www.oddsportal.com/football/h2h/serbia-8Kl6iq0i/switzerland-rHJ2vy1B/#vsrSi2KM,Serbia,Switzerland,World Cup 2018,1,2,"(1:0, 0:2)",Letzigrund Stadion,Zrich,Switzerland,"[{'1': '3.02', 'X': '2.96', '2': '2.72', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.70', 'X': '2.95', '2': '2.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.00', '2': '3.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.00', '2': '2.88', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:44:10 UTC,2018-07-06 14:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/brazil-I9l9aqLq/#ruhUJyDI,Brazil,Belgium,World Cup 2018,1,2,"(0:2, 1:0)",Ak Bars Arena,Kazan,Russia,"[{'1': '1.99', 'X': '3.46', '2': '4.04', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.35', '2': '3.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.50', '2': '3.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.50', '2': '3.60', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:44:18 UTC,2018-06-25 14:00:00 UTC,https://www.oddsportal.com/football/h2h/morocco-IDKYO3R8/spain-bLyo6mco/#UoksL3qo,Spain,Morocco,World Cup 2018,2,2,"(1:1, 1:1)",Education City Stadium,Al Rayyan,Qatar,"[{'1': '1.31', 'X': '5.00', '2': '12.50', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.35', 'X': '4.80', '2': '9.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.10', '2': '10.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.00', '2': '10.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
